City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
118,waitati,-45.75,170.5667,15.77,51,98,5.43,NZ,1675819677
119,ust-maya,60.4167,134.5333,-34.63,96,100,0.36,RU,1675819678
120,neuquen,-38.9516,-68.0591,23.94,46,0,0.0,AR,1675819678
121,volovo,48.5246,23.5056,-8.2,95,27,2.2,UA,1675819678
122,gat,31.61,34.7642,10.6,100,60,8.69,IL,1675819679
123,carnarvon,-24.8667,113.6333,27.43,56,1,7.64,AU,1675819679
124,borzya,50.3833,116.5167,-25.08,100,96,1.59,RU,1675819680
125,mecca,21.4267,39.8261,16.87,58,84,4.69,SA,1675819680
126,mar del plata,-38.0023,-57.5575,23.38,93,40,8.94,AR,1675819680
127,galle,6.0367,80.217,23.93,90,91,1.27,LK,1675819681
128,north platte,41.1239,-100.7654,1.32,82,0,2.68,US,1675819681
129,harper,4.375,-7.7169,26.21,84,100,3.02,LR,1675819681
130,vestmanna,62.1564,-7.1664,7.51,87,100,16.98,FO,1675819682
131,bukachacha,52.9833,116.9167,-20.3,89,5,1.23,RU,1675819682
132,thompson,55.7435,-97.8558,-15.91,85,100,1.54,CA,1675819683
133,port-gentil,-0.7193,8.7815,26.95,80,76,3.88,GA,1675819683
134,eydhafushi,5.1033,73.0708,26.96,67,11,3.06,MV,1675819683
135,yangambi,0.8102,24.4336,22.98,51,100,0.53,CD,1675819684
136,virginia beach,36.8529,-75.978,11.12,70,75,3.6,US,1675819563
137,pevek,69.7008,170.3133,-29.74,92,100,1.3,RU,1675819684
138,mayumba,-3.432,10.6554,25.07,86,95,0.68,GA,1675819684
139,lagoa,39.05,-27.9833,13.28,58,100,6.88,PT,1675819685
140,panzhihua,26.5851,101.7128,10.43,51,0,0.91,CN,1675819685
141,douentza,14.9951,-2.9517,24.35,17,41,0.94,ML,1675819685
142,hilo,19.7297,-155.09,26.27,92,100,6.69,US,1675819686
143,ciudad bolivar,8.1222,-63.5497,28.01,59,100,5.92,VE,1675819686
144,kidal,18.4411,1.4078,24.42,14,95,3.69,ML,1675819686
145,barrow,71.2906,-156.7887,-17.99,78,100,3.6,US,1675819547
146,morant bay,17.8815,-76.4093,26.79,82,13,5.61,JM,1675819687
147,fowa,8.9167,6.4,25.78,20,94,2.06,NG,1675819687
148,puerto montt,-41.4698,-72.9447,16.46,94,0,3.09,CL,1675819687
149,baykit,61.67,96.37,-15.63,98,100,0.75,RU,1675819688
150,gewane,10.1664,40.6453,22.86,55,0,2.35,ET,1675819688
151,norman wells,65.282,-126.8329,-21.98,71,75,0.0,CA,1675819688
152,denpasar,-8.65,115.2167,28.81,79,20,3.09,ID,1675819653
153,roald,62.5833,6.1333,7.96,57,75,9.77,NO,1675819689
154,tura,25.5198,90.2201,16.13,50,93,1.6,IN,1675819118
155,usinsk,65.9939,57.5281,-10.07,95,100,11.54,RU,1675819689
156,matara,5.9485,80.5353,23.21,92,73,2.97,LK,1675819690
157,vanavara,60.34,102.2797,-19.54,99,100,1.03,RU,1675819690
158,negara,-8.3151,114.6025,26.01,85,95,0.93,ID,1675819690
159,narang,31.9132,74.5176,10.05,55,99,1.47,PK,1675819690
160,lavrentiya,65.5833,-171.0,-25.47,91,97,1.21,RU,1675819691
161,vuktyl,63.8567,57.3094,-11.74,93,100,6.34,RU,1675819691
162,payo,-3.7508,103.6372,25.72,79,54,0.36,ID,1675819691
163,meadow lake,34.8014,-106.5436,2.44,69,100,2.27,US,1675819692
164,cabra,37.4725,-4.4421,6.66,90,100,0.34,ES,1675819692
165,brindisi,40.5833,17.6667,5.2,53,97,3.96,IT,1675819692
166,bilibino,68.0546,166.4372,-37.0,98,100,0.74,RU,1675819693
167,cabo san lucas,22.8909,-109.9124,22.17,59,40,2.06,MX,1675819560
168,husavik,66.0449,-17.3389,-4.68,71,92,5.96,IS,1675819678
169,codrington,-38.2667,141.9667,18.99,58,75,6.82,AU,1675819693
170,basavakalyan,17.8667,76.95,19.52,38,96,3.61,IN,1675819694
171,kathmandu,27.7167,85.3167,8.24,78,20,1.54,NP,1675819694
172,tiznit,29.5833,-9.5,7.65,91,0,0.23,MA,1675819694
